# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0411893826 
1.11 3.4886807619 
1.17 3.7931603015 
1.23 2.6736391444 
1.29 1.9870745525 
1.35 1.3713952124 
1.41 1.0841706144 
1.47 0.8622612508 
1.53 0.6523205387 
1.59 0.5727805107 
1.65 0.4788625772 
1.71 0.4615740022 
1.77 0.4369994795 
1.83 0.4722105604 
1.89 0.5117868798 
1.95 0.6099197036 
2.01 0.7576410973 
2.07 0.9233171798 
2.13 1.0726308745 
2.19 1.325037264 
2.25 1.6127755558 
2.31 1.6277727156 
2.37 1.5507682223 
2.43 1.3878924794 
2.49 1.2565815581 
2.55 1.0906799406 
2.61 0.9888092165 
2.67 0.837627213 
2.73 0.7598100604 
2.79 0.7184293674 
2.85 0.6852112269 
2.91 0.7119540683 
2.97 0.734816025 
3.03 0.7490868007 
3.09 0.8602397938 
3.15 0.9600294556 
3.21 1.0579023577 
3.27 1.1346337773 
3.33 1.2113474868 
3.39 1.2757773367 
3.45 1.2396075558 
3.51 1.2402174549 
3.57 1.1758077709 
3.63 1.114672937 
3.69 1.0656690166 
3.75 0.960568086 
3.81 0.904619632 
3.87 0.8615814277 
3.93 0.8520252349 
3.99 0.8096131678 
4.05 0.8446463775 
4.11 0.838589002 
4.17 0.9204641702 
4.23 0.9575464077 
4.29 0.9959178378 
4.35 1.0578952101 
4.41 1.0795239282 
4.47 1.1390873782 
4.53 1.1184921236 
4.59 1.1645733617 
4.65 1.1064408466 
4.71 1.1029410738 
4.77 1.0456513616 
4.83 1.0064880485 
4.89 0.9613123717 
4.95 0.9387386734 
5.01 0.9138834972 
5.07 0.9143874202 
5.13 0.9080702446 
5.19 0.9148795555 
5.25 0.9197905972 
5.31 0.9631217919 
5.37 0.9879831868 
5.43 1.0138268504 
5.49 1.0336517978 
5.55 1.0557455312 
5.61 1.0784044541 
5.67 1.0954498189 
5.73 1.0884787857 
5.79 1.0461717385 
5.85 1.0577628427 
5.91 1.0162044716 
5.97 0.9931744101 
6.03 0.9537753846 
6.09 0.9517533396 
6.15 0.965052551 
6.21 0.9395227758 
6.27 0.9441949653 
6.33 0.9336685511 
6.39 0.9828219552 
6.45 1.0077214554 
6.51 1.0031607694 
6.57 1.0110893883 
6.63 1.0304155586 
6.69 1.0258983682 
6.75 1.0648335513 
6.81 1.0436050996 
6.87 1.0304955374 
6.93 1.016292808 
6.99 1.0312473803 
7.05 1.005954606 
7.11 1.0036653351 
7.17 0.9522310474 
7.23 0.9910332416 
7.29 0.9688436445 
7.35 0.9584452486 
7.41 0.9506845583 
7.47 0.9646484689 
7.53 0.9971668027 
7.59 1.0135011389 
7.65 1.0129450764 
7.71 1.0212433382 
7.77 1.0258810881 
7.83 1.0380956572 
7.89 1.0322042409 
7.95 1.0228447586 
8.01 1.0188171829 
8.07 1.0082535419 
8.13 1.0064391218 
8.19 0.9717485255 
8.25 0.9765772181 
8.31 0.9899435164 
8.37 0.9801642158 
8.43 0.9913415047 
8.49 0.9815925844 
8.55 0.9792761813 
8.61 0.9804695901 
8.67 1.0022713218 
8.73 1.0124362216 
8.79 1.0194345155 
8.85 1.0233306091 
8.91 0.9911428548 
8.97 1.0416293631 
9.03 1.0191424828 
9.09 1.0115004986 
9.15 1.003776943 
9.21 1.0031978069 
9.27 0.9874634096 
9.33 0.9825394583 
9.39 0.9883072979 
9.45 0.9792159629 
9.51 1.0120434199 
9.57 0.9925752259 
9.63 0.9831090324 
9.69 0.9753050369 
9.75 1.0027421142 
9.81 1.0016112564 
9.87 1.0080781175 
9.93 1.0151368866 
9.99 1.0068753612 
10.05 1.0057468329 
10.11 1.0210848883 
10.17 1.017023523 
10.23 1.0091073529 
10.29 0.9915034461 
10.35 0.9893717248 
10.41 0.9963726256 
10.47 0.9947934942 
10.53 0.9899939867 
10.59 0.9951445487 
10.65 1.0009399285 
10.71 0.9954877363 
10.77 1.0011394072 
10.83 0.9856093524 
10.89 1.0134778947 
10.95 0.996227501 
11.01 0.9945755286 
11.07 0.9965477888 
11.13 1.0086616221 
11.19 1.0173008754 
11.25 1.0030037114 
11.31 1.0162877145 
11.37 1.000025458 
11.43 0.9925930181 
11.49 1.0040584155 
11.55 0.9731351682 
11.61 1.0037097684 
11.67 0.9895694187 
11.73 1.0092533204 
11.79 0.9984736856 
11.85 0.987873398 
11.91 0.9951872792 
11.97 1.0063883558 
