# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0498156548 
1.11 3.9935101119 
1.17 4.4342745144 
1.23 3.0142116185 
1.29 2.0906355954 
1.35 1.3602256787 
1.41 0.8883438465 
1.47 0.4967332433 
1.53 0.3240947893 
1.59 0.2258936295 
1.65 0.1572363212 
1.71 0.1358132062 
1.77 0.1516985193 
1.83 0.2412384331 
1.89 0.4221415486 
1.95 0.7735987989 
2.01 1.1717335952 
2.07 1.4716555172 
2.13 1.5798344976 
2.19 1.5053426491 
2.25 1.6834148866 
2.31 1.8087611378 
2.37 1.6964647665 
2.43 1.4918456087 
2.49 1.2559146763 
2.55 0.9927966963 
2.61 0.7436465675 
2.67 0.5331207938 
2.73 0.3847301338 
2.79 0.2984654069 
2.85 0.2540074018 
2.91 0.3338504809 
2.97 0.5058050119 
3.03 0.7837334201 
3.09 1.1833555636 
3.15 1.5491561619 
3.21 1.6924907506 
3.27 1.6676209374 
3.33 1.5257353244 
3.39 1.383317545 
3.45 1.2312985928 
3.51 1.1246132433 
3.57 1.0695714113 
3.63 0.9452623418 
3.69 0.8673324001 
3.75 0.7625116224 
3.81 0.6340839879 
3.87 0.5590166035 
3.93 0.4993734187 
3.99 0.5210542697 
4.05 0.6311212954 
4.11 0.8034743929 
4.17 1.0493064395 
4.23 1.3099279622 
4.29 1.4995324929 
4.35 1.5835423243 
4.41 1.5572531827 
4.47 1.4251066375 
4.53 1.2473488056 
4.59 1.0810756801 
4.65 0.9072448473 
4.71 0.8289071116 
4.77 0.7700852729 
4.83 0.7206664724 
4.89 0.7219500659 
4.95 0.687274888 
5.01 0.6847514734 
5.07 0.7216293785 
5.13 0.8116164573 
5.19 0.9461518986 
5.25 1.0517081035 
5.31 1.2045256457 
5.37 1.3021088578 
5.43 1.3565637642 
5.49 1.4067795725 
5.55 1.3459561614 
5.61 1.2728832173 
5.67 1.1324758851 
5.73 0.9834462247 
5.79 0.883638516 
5.85 0.7563123409 
5.91 0.6806622257 
5.97 0.6758073501 
6.03 0.6894387485 
6.09 0.7401346593 
6.15 0.8130886872 
6.21 0.9230415671 
6.27 1.0064192378 
6.33 1.1457285807 
6.39 1.2197741171 
6.45 1.2650859305 
6.51 1.2626393702 
6.57 1.2654389479 
6.63 1.1860333493 
6.69 1.1668479423 
6.75 1.0962396089 
6.81 1.0297429842 
6.87 0.9455257816 
6.93 0.856225436 
6.99 0.7497006609 
7.05 0.6988041127 
7.11 0.7083071454 
7.17 0.7332141812 
7.23 0.8187681726 
7.29 0.917838064 
7.35 1.0482162634 
7.41 1.157847583 
7.47 1.2240780048 
7.53 1.2755453872 
7.59 1.2643593854 
7.65 1.2144210093 
7.71 1.1657121664 
7.77 1.0752103216 
7.83 1.0088083631 
7.89 0.9724975505 
7.95 0.9189265122 
8.01 0.8793924575 
8.07 0.8226435005 
8.13 0.7911804398 
8.19 0.7789124687 
8.25 0.7847445001 
8.31 0.8399243106 
8.37 0.9317253433 
8.43 1.0213922934 
8.49 1.1286032901 
8.55 1.1980111465 
8.61 1.2258701127 
8.67 1.2481952954 
8.73 1.230669217 
8.79 1.1606990889 
8.85 1.0765472585 
8.91 0.9965814626 
8.97 0.9358012365 
9.03 0.8645526194 
9.09 0.8521710325 
9.15 0.8199057899 
9.21 0.8259987265 
9.27 0.8262197724 
9.33 0.8697930788 
9.39 0.9018914742 
9.45 0.9744680083 
9.51 1.0345417651 
9.57 1.086137436 
9.63 1.1517193156 
9.69 1.1945372458 
9.75 1.190834286 
9.81 1.1605168684 
9.87 1.151978184 
9.93 1.1033690947 
9.99 1.0094077811 
10.05 0.9668103315 
10.11 0.8853291382 
10.17 0.8419090571 
10.23 0.8032250854 
10.29 0.8056580793 
10.35 0.8297603498 
10.41 0.8807848017 
10.47 0.9530729168 
10.53 1.0165894389 
10.59 1.0558096395 
10.65 1.1142335327 
10.71 1.1473880223 
10.77 1.1633366139 
10.83 1.1557323903 
10.89 1.1202895762 
10.95 1.0890566514 
11.01 1.0798278416 
11.07 1.001146159 
11.13 0.9792692488 
11.19 0.9152457967 
11.25 0.8630019752 
11.31 0.8341897868 
11.37 0.8316892245 
11.43 0.8330589575 
11.49 0.8661594004 
11.55 0.9462559102 
11.61 1.0224609507 
11.67 1.0674039193 
11.73 1.1382261321 
11.79 1.1434953277 
11.85 1.1754308523 
11.91 1.1437440106 
11.97 1.1147053884 
