# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0429392537 
1.11 3.4841400453 
1.17 3.7821612355 
1.23 2.6928187355 
1.29 1.9798842368 
1.35 1.4002084212 
1.41 1.070013042 
1.47 0.8633289104 
1.53 0.7023234143 
1.59 0.5534692764 
1.65 0.4797051979 
1.71 0.4794743826 
1.77 0.4552019127 
1.83 0.439821014 
1.89 0.5058173404 
1.95 0.6075720898 
2.01 0.738975299 
2.07 0.9127760573 
2.13 1.0814890542 
2.19 1.3080568952 
2.25 1.5889644327 
2.31 1.6658840094 
2.37 1.5243636374 
2.43 1.4193808863 
2.49 1.2627896097 
2.55 1.1017800882 
2.61 0.9935986101 
2.67 0.8730802896 
2.73 0.775903751 
2.79 0.7224089099 
2.85 0.6828847979 
2.91 0.6820029041 
2.97 0.7123610945 
3.03 0.7803701553 
3.09 0.8589780768 
3.15 0.9316757825 
3.21 1.0271458897 
3.27 1.1668592643 
3.33 1.2030011469 
3.39 1.2666798366 
3.45 1.2637693075 
3.51 1.2473995924 
3.57 1.1576759577 
3.63 1.1231302654 
3.69 1.0340460147 
3.75 1.0157200946 
3.81 0.9129443836 
3.87 0.8711749535 
3.93 0.8504388097 
3.99 0.8414168574 
4.05 0.8262714005 
4.11 0.8322890355 
4.17 0.901804417 
4.23 0.958096902 
4.29 0.9933525358 
4.35 1.0712055073 
4.41 1.0820010358 
4.47 1.1162284744 
4.53 1.1359101938 
4.59 1.1316120074 
4.65 1.1166514525 
4.71 1.080799958 
4.77 1.0463755011 
4.83 1.0202394338 
4.89 0.9718652719 
4.95 0.9648079227 
5.01 0.936421416 
5.07 0.9146352759 
5.13 0.9207014877 
5.19 0.9129532506 
5.25 0.9189000293 
5.31 0.9361907386 
5.37 0.9821699046 
5.43 1.0337447404 
5.49 1.0292906717 
5.55 1.0688607522 
5.61 1.0863018863 
5.67 1.065235121 
5.73 1.0565579311 
5.79 1.0499352061 
5.85 1.0453037317 
5.91 1.0218355679 
5.97 1.0157614915 
6.03 0.9797618917 
6.09 0.9474878108 
6.15 0.9746279658 
6.21 0.9691102992 
6.27 0.9274779879 
6.33 0.9660389937 
6.39 0.9509577548 
6.45 0.9817222656 
6.51 1.0129457161 
6.57 0.9989930296 
6.63 1.042088265 
6.69 1.037359881 
6.75 1.0353131171 
6.81 1.0417620619 
6.87 1.04360165 
6.93 1.0238433725 
6.99 1.0223412443 
7.05 1.0102060042 
7.11 1.0076700079 
7.17 0.980838888 
7.23 0.9775493615 
7.29 0.9674421324 
7.35 0.9659060165 
7.41 0.975211683 
7.47 0.9758732592 
7.53 0.9724217149 
7.59 1.0101662155 
7.65 1.0004970846 
7.71 1.0208669883 
7.77 1.0211504703 
7.83 1.0165245278 
7.89 1.0167308996 
7.95 1.0244957859 
8.01 1.0244308842 
8.07 1.0233323381 
8.13 1.0056130265 
8.19 0.9974303377 
8.25 1.0040411959 
8.31 0.9889549136 
8.37 0.9831624159 
8.43 0.9828006793 
8.49 0.9658241311 
8.55 0.9786745953 
8.61 0.9920247637 
8.67 1.0005677053 
8.73 1.0220957841 
8.79 0.9998262203 
8.85 1.0064443533 
8.91 1.0226251807 
8.97 1.0110377852 
9.03 0.9969229833 
9.09 1.0268076702 
9.15 1.0040146507 
9.21 1.0020065745 
9.27 1.0068696572 
9.33 1.0006630774 
9.39 0.9833322823 
9.45 0.9931690347 
9.51 0.9972627876 
9.57 0.9794068369 
9.63 0.9871767621 
9.69 1.0048454985 
9.75 0.9998607076 
9.81 1.0198741477 
9.87 0.9833055261 
9.93 1.0081379555 
9.99 1.0056768654 
10.05 1.0017497645 
10.11 1.000924905 
10.17 1.0103719456 
10.23 1.0102407343 
10.29 1.0105167529 
10.35 1.0050620325 
10.41 0.9964620066 
10.47 0.9920275423 
10.53 0.9874057414 
10.59 0.9993929964 
10.65 0.9852173211 
10.71 0.9897544753 
10.77 0.9943186 
10.83 1.0135571404 
10.89 1.0026826139 
10.95 0.9968072161 
11.01 1.0079826223 
11.07 1.0053853666 
11.13 0.9830118458 
11.19 0.9934845451 
11.25 1.0132709668 
11.31 1.007083479 
11.37 1.0189523089 
11.43 0.9967295658 
11.49 0.9959573249 
11.55 1.0085664439 
11.61 1.0024912375 
11.67 0.9944752417 
11.73 0.986897146 
11.79 0.9946217906 
11.85 0.99754751 
11.91 0.9851612385 
11.97 1.0083330922 
