# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0534728491 
1.11 4.0998386409 
1.17 4.2539239019 
1.23 2.9706947694 
1.29 2.0210217112 
1.35 1.3533165061 
1.41 0.902766003 
1.47 0.6081028888 
1.53 0.4374675036 
1.59 0.328961569 
1.65 0.2364062801 
1.71 0.2220629166 
1.77 0.2312307189 
1.83 0.3023707373 
1.89 0.4631968285 
1.95 0.7501353118 
2.01 1.0541250175 
2.07 1.3130113291 
2.13 1.4588098797 
2.19 1.5197064665 
2.25 1.7349594221 
2.31 1.7919161083 
2.37 1.672674181 
2.43 1.4863558427 
2.49 1.2084372223 
2.55 1.0064649718 
2.61 0.7877378801 
2.67 0.6399903158 
2.73 0.500631431 
2.79 0.4342588478 
2.85 0.3916775101 
2.91 0.4536705568 
2.97 0.5775835252 
3.03 0.8055758554 
3.09 1.0749217589 
3.15 1.3705935523 
3.21 1.5330045089 
3.27 1.5403459648 
3.33 1.459125473 
3.39 1.3568081672 
3.45 1.2783926558 
3.51 1.1856094869 
3.57 1.0905646849 
3.63 1.0059885007 
3.69 0.9343733986 
3.75 0.8134346087 
3.81 0.7230634993 
3.87 0.6641290765 
3.93 0.5930835032 
3.99 0.6171225967 
4.05 0.724906294 
4.11 0.8509331888 
4.17 1.0050455837 
4.23 1.2038626541 
4.29 1.3602660302 
4.35 1.3917740411 
4.41 1.4361614506 
4.47 1.359369165 
4.53 1.2206822616 
4.59 1.1170067972 
4.65 1.0161657039 
4.71 0.9136588253 
4.77 0.8668540026 
4.83 0.8207531696 
4.89 0.7925532626 
4.95 0.7850360058 
5.01 0.7664919186 
5.07 0.8149780106 
5.13 0.8349680872 
5.19 0.9295116865 
5.25 1.032307423 
5.31 1.1210933409 
5.37 1.1942754407 
5.43 1.2496499093 
5.49 1.2849747088 
5.55 1.2895856089 
5.61 1.2368136043 
5.67 1.1312165584 
5.73 1.0208687422 
5.79 0.9371783933 
5.85 0.8730110118 
5.91 0.8110215446 
5.97 0.796311983 
6.03 0.8007625656 
6.09 0.8127678964 
6.15 0.8814782943 
6.21 0.9307783491 
6.27 1.0067061687 
6.33 1.0604203499 
6.39 1.132202025 
6.45 1.1718375249 
6.51 1.1749954992 
6.57 1.1765215508 
6.63 1.160302882 
6.69 1.1637001959 
6.75 1.0838571257 
6.81 1.0442579167 
6.87 0.9731972501 
6.93 0.9165860372 
6.99 0.8754261525 
7.05 0.8136944879 
7.11 0.8310378991 
7.17 0.8372722419 
7.23 0.88110795 
7.29 0.9431726889 
7.35 1.0074405379 
7.41 1.1003779155 
7.47 1.1277362833 
7.53 1.1691789673 
7.59 1.1698645752 
7.65 1.151804617 
7.71 1.1224315681 
7.77 1.0673652269 
7.83 1.0371080103 
7.89 1.0015056922 
7.95 0.9685780885 
8.01 0.9406630971 
8.07 0.9158180088 
8.13 0.8869778981 
8.19 0.8618978961 
8.25 0.8801656541 
8.31 0.9133717364 
8.37 0.9523684894 
8.43 1.0129819808 
8.49 1.059773294 
8.55 1.0991682342 
8.61 1.1274602643 
8.67 1.1660971536 
8.73 1.1364189344 
8.79 1.1126929543 
8.85 1.0722594165 
8.91 1.0202648977 
8.97 0.9811552447 
9.03 0.9478013409 
9.09 0.9196015742 
9.15 0.9027522601 
9.21 0.907459367 
9.27 0.9184811144 
9.33 0.9294402852 
9.39 0.9404167551 
9.45 0.971345248 
9.51 1.0156334469 
9.57 1.0602926648 
9.63 1.0899728801 
9.69 1.0897042573 
9.75 1.1089121503 
9.81 1.1130494456 
9.87 1.0955047857 
9.93 1.0653757335 
9.99 1.0262907767 
10.05 0.9894367319 
10.11 0.9422052965 
10.17 0.9300361369 
10.23 0.9122324444 
10.29 0.8932004769 
10.35 0.927138035 
10.41 0.9389683873 
10.47 0.9587070581 
10.53 0.9996191472 
10.59 1.0459275723 
10.65 1.0559896718 
10.71 1.0853912281 
10.77 1.090182512 
10.83 1.0792312318 
10.89 1.0753880715 
10.95 1.0713171579 
11.01 1.0269635889 
11.07 1.0093848764 
11.13 0.9761317258 
11.19 0.9767736019 
11.25 0.9550813715 
11.31 0.9204899698 
11.37 0.9298621026 
11.43 0.9157382371 
11.49 0.9409828951 
11.55 0.9834910613 
11.61 0.9839444199 
11.67 1.044153059 
11.73 1.0699248417 
11.79 1.0693048053 
11.85 1.0905735911 
11.91 1.0744724978 
11.97 1.0630382644 
