# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0498779229 
1.11 3.7045337861 
1.17 3.9029784093 
1.23 2.7346522879 
1.29 1.9513380943 
1.35 1.4015875111 
1.41 1.0142471935 
1.47 0.816549867 
1.53 0.6785258868 
1.59 0.5572939561 
1.65 0.5109196033 
1.71 0.4332209518 
1.77 0.4452606814 
1.83 0.4449712107 
1.89 0.5300646646 
1.95 0.6302811971 
2.01 0.7720031424 
2.07 0.968352241 
2.13 1.1465010517 
2.19 1.3553879228 
2.25 1.6484921682 
2.31 1.7080628879 
2.37 1.5593215487 
2.43 1.4370443381 
2.49 1.2168526684 
2.55 1.1226318455 
2.61 0.943417702 
2.67 0.8450231285 
2.73 0.7840611455 
2.79 0.715730028 
2.85 0.6805076205 
2.91 0.6615418226 
2.97 0.7158676472 
3.03 0.8051198415 
3.09 0.8832516305 
3.15 0.9838822535 
3.21 1.0941715588 
3.27 1.2195292382 
3.33 1.2543768537 
3.39 1.3156494653 
3.45 1.2974206132 
3.51 1.232164845 
3.57 1.1764375365 
3.63 1.1011439072 
3.69 1.0411182492 
3.75 0.9751294825 
3.81 0.9094454397 
3.87 0.8765742491 
3.93 0.8227830721 
3.99 0.8226893397 
4.05 0.8386582414 
4.11 0.8810846413 
4.17 0.8955512185 
4.23 0.9914820468 
4.29 1.0307785275 
4.35 1.1122943253 
4.41 1.1440892225 
4.47 1.1604796883 
4.53 1.1889294249 
4.59 1.1354772773 
4.65 1.1222792165 
4.71 1.0823365797 
4.77 1.0545552934 
4.83 1.0049037343 
4.89 0.9678715686 
4.95 0.918938565 
5.01 0.935247184 
5.07 0.930010479 
5.13 0.9039844262 
5.19 0.9215278746 
5.25 0.9467151561 
5.31 0.9740375678 
5.37 1.0015359282 
5.43 1.0576724225 
5.49 1.0835018209 
5.55 1.0771152672 
5.61 1.101883077 
5.67 1.1088452217 
5.73 1.1010671523 
5.79 1.0326138929 
5.85 1.0491691129 
5.91 1.0400898621 
5.97 0.9924243228 
6.03 0.9585950832 
6.09 0.9651017453 
6.15 0.9499173894 
6.21 0.9382910182 
6.27 0.9695940262 
6.33 0.9840233239 
6.39 1.0055843999 
6.45 1.0005518819 
6.51 1.005862795 
6.57 1.0353764885 
6.63 1.0681782001 
6.69 1.0599870316 
6.75 1.0578231457 
6.81 1.065124367 
6.87 1.0545924121 
6.93 1.0464368724 
6.99 1.0160650113 
7.05 0.9962747093 
7.11 0.9882237441 
7.17 0.9864337089 
7.23 0.9719385239 
7.29 0.9758738441 
7.35 0.9689418619 
7.41 0.9752316225 
7.47 1.0155704688 
7.53 1.0090487778 
7.59 1.0089738441 
7.65 1.0348485941 
7.71 1.040490284 
7.77 1.0251717808 
7.83 1.030153875 
7.89 1.0510121993 
7.95 1.0363861291 
8.01 1.0437032201 
8.07 1.004855624 
8.13 1.0199860089 
8.19 0.9877602723 
8.25 1.0054570149 
8.31 0.9982990469 
8.37 0.9851884565 
8.43 0.9776754267 
8.49 0.9985249744 
8.55 1.0027805384 
8.61 0.9941246909 
8.67 1.0121866804 
8.73 1.0137448698 
8.79 1.0233540701 
8.85 1.0240518437 
8.91 1.0348842851 
8.97 1.0375673434 
9.03 1.0346956213 
9.09 1.0130905485 
9.15 1.0101400389 
9.21 1.0076865538 
9.27 1.0111877998 
9.33 1.0009729825 
9.39 1.0007840994 
9.45 0.9916589189 
9.51 0.992774705 
9.57 1.006410289 
9.63 0.9975083347 
9.69 0.9958648105 
9.75 1.0121752887 
9.81 1.0013348522 
9.87 1.0043195356 
9.93 1.0307464046 
9.99 1.0303900465 
10.05 1.0086050853 
10.11 1.0352879773 
10.17 1.0181332794 
10.23 1.0127398239 
10.29 1.0192302351 
10.35 1.0109548428 
10.41 0.9910901396 
10.47 0.997512356 
10.53 0.9952779447 
10.59 0.9907556802 
10.65 1.0173759246 
10.71 0.9918797573 
10.77 1.0020402555 
10.83 1.0093582795 
10.89 1.0186899784 
10.95 1.0059338938 
11.01 1.002216566 
11.07 1.0203630335 
11.13 1.0135722161 
11.19 1.0134216478 
11.25 1.0139484509 
11.31 1.0173077598 
11.37 1.0181799588 
11.43 1.0084749285 
11.49 0.993945638 
11.55 0.9931703711 
11.61 1.0015704775 
11.67 0.9986648803 
11.73 1.0115597479 
11.79 1.0059103389 
11.85 0.9974668083 
11.91 1.0104565235 
11.97 0.996993909 
