# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0510273781 
1.11 4.175578691 
1.17 4.635350285 
1.23 3.2325790235 
1.29 2.0736190334 
1.35 1.304312981 
1.41 0.7144771181 
1.47 0.3887800235 
1.53 0.201033788 
1.59 0.1010919754 
1.65 0.0581288314 
1.71 0.0456450231 
1.77 0.0743682127 
1.83 0.1767523934 
1.89 0.4010793915 
1.95 0.8778841228 
2.01 1.4285691337 
2.07 1.7683830489 
2.13 1.7132901356 
2.19 1.4808985651 
2.25 1.632204133 
2.31 1.7948350494 
2.37 1.7410231999 
2.43 1.561930855 
2.49 1.2650205421 
2.55 0.8936276125 
2.61 0.615340796 
2.67 0.3792900616 
2.73 0.2173388326 
2.79 0.1439103474 
2.85 0.1209206289 
2.91 0.2177609758 
2.97 0.4648079351 
3.03 0.884137739 
3.09 1.4515860933 
3.15 1.9323207123 
3.21 1.9971740154 
3.27 1.8915500549 
3.33 1.4891924003 
3.39 1.2048827802 
3.45 1.0650561442 
3.51 0.9980410257 
3.57 1.0010926789 
3.63 0.9612212711 
3.69 0.8509428617 
3.75 0.6835148792 
3.81 0.5324714591 
3.87 0.4040583082 
3.93 0.3494156339 
3.99 0.4026819407 
4.05 0.5832333653 
4.11 0.8909673584 
4.17 1.2396539292 
4.23 1.579386932 
4.29 1.8036898391 
4.35 1.8527130786 
4.41 1.7126120015 
4.47 1.4052083336 
4.53 1.1068239232 
4.59 0.8404509331 
4.65 0.7132452871 
4.71 0.6517757457 
4.77 0.6661808642 
4.83 0.6762565565 
4.89 0.673369695 
4.95 0.642891512 
5.01 0.6324196004 
5.07 0.6884726126 
5.13 0.8369543635 
5.19 1.0054538285 
5.25 1.217979417 
5.31 1.371265134 
5.37 1.4767813816 
5.43 1.5342844241 
5.49 1.5170343459 
5.55 1.4472399613 
5.61 1.2461736688 
5.67 1.0532125498 
5.73 0.813845617 
5.79 0.6354186459 
5.85 0.5258937474 
5.91 0.4987297039 
5.97 0.5580911731 
6.03 0.6382104906 
6.09 0.7464030272 
6.15 0.8812017947 
6.21 1.0356576547 
6.27 1.2097337737 
6.33 1.3296198323 
6.39 1.4062622496 
6.45 1.3817973717 
6.51 1.3226272012 
6.57 1.2479256043 
6.63 1.1797640412 
6.69 1.129930282 
6.75 1.0744167936 
6.81 0.9562603362 
6.87 0.8237033091 
6.93 0.6656657963 
6.99 0.5612524918 
7.05 0.4979290959 
7.11 0.5635950916 
7.17 0.6921868186 
7.23 0.8888163635 
7.29 1.1169611261 
7.35 1.2913436474 
7.41 1.4164834926 
7.47 1.4500007963 
7.53 1.4142898799 
7.59 1.3042819944 
7.65 1.1803493505 
7.71 1.0551712689 
7.77 0.945973015 
7.83 0.8865165174 
7.89 0.8690439394 
7.95 0.8411018763 
8.01 0.7948327549 
8.07 0.7181045517 
8.13 0.6684630696 
8.19 0.6625967233 
8.25 0.7321025645 
8.31 0.8640449533 
8.37 1.0624550857 
8.43 1.2362274046 
8.49 1.3613422415 
8.55 1.4303138751 
8.61 1.3988354412 
8.67 1.3387248114 
8.73 1.2182946173 
8.79 1.072944528 
8.85 0.9336760931 
8.91 0.8002922122 
8.97 0.7370515932 
9.03 0.7224849698 
9.09 0.734598393 
9.15 0.7448902502 
9.21 0.7940464962 
9.27 0.8369293265 
9.33 0.8979773322 
9.39 0.9854364264 
9.45 1.0691250655 
9.51 1.1863264251 
9.57 1.2683973656 
9.63 1.3141399527 
9.69 1.3103034162 
9.75 1.2676402499 
9.81 1.196302751 
9.87 1.0921896251 
9.93 0.9889349865 
9.99 0.8620246258 
10.05 0.7703939972 
10.11 0.6803089608 
10.17 0.6515147535 
10.23 0.6923732217 
10.29 0.7555754623 
10.35 0.8720486701 
10.41 0.9979177445 
10.47 1.1124253621 
10.53 1.2028881924 
10.59 1.2387340843 
10.65 1.2592698024 
10.71 1.2375775865 
10.77 1.2038435751 
10.83 1.1533817334 
10.89 1.0926033633 
10.95 1.0483783233 
11.01 0.9611383526 
11.07 0.906453424 
11.13 0.8352419887 
11.19 0.7623706129 
11.25 0.7073276556 
11.31 0.7122310429 
11.37 0.7351755493 
11.43 0.8291184213 
11.49 0.9798792857 
11.55 1.1277565983 
11.61 1.2511450152 
11.67 1.2939680883 
11.73 1.2903944378 
11.79 1.2623958218 
11.85 1.1919226799 
11.91 1.1034430503 
11.97 1.0194423552 
