# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0436846031 
1.11 4.4889528265 
1.17 5.0218880641 
1.23 3.2581737204 
1.29 1.9926664198 
1.35 1.0388557663 
1.41 0.5352032324 
1.47 0.2171406885 
1.53 0.0944563671 
1.59 0.0308242353 
1.65 0.0209446727 
1.71 0.0187399703 
1.77 0.0482792456 
1.83 0.1308183656 
1.89 0.4125768068 
1.95 1.050133667 
2.01 1.7921762483 
2.07 2.0240446032 
2.13 1.744602738 
2.19 1.3565261995 
2.25 1.5683370924 
2.31 1.8270826829 
2.37 1.8089304037 
2.43 1.5543015759 
2.49 1.1431249081 
2.55 0.7562258887 
2.61 0.430689879 
2.67 0.2143887285 
2.73 0.0886120768 
2.79 0.0574289413 
2.85 0.0725347086 
2.91 0.1908772234 
2.97 0.5396955564 
3.03 1.1629477678 
3.09 1.8921376656 
3.15 2.3089008248 
3.21 2.2126970121 
3.27 1.7432116588 
3.33 1.2268672248 
3.39 0.9477001023 
3.45 0.88222604 
3.51 0.986010746 
3.57 1.0504017372 
3.63 0.9707249963 
3.69 0.775293454 
3.75 0.5691924255 
3.81 0.3613368339 
3.87 0.2469523038 
3.93 0.2702022662 
3.99 0.4351137646 
4.05 0.7456303484 
4.11 1.1355987509 
4.17 1.5491523749 
4.23 1.9330001841 
4.29 2.0916844123 
4.35 1.8837205296 
4.41 1.5209821848 
4.47 1.1213131154 
4.53 0.8032490043 
4.59 0.586998409 
4.65 0.5545608826 
4.71 0.6558217263 
4.77 0.7102746871 
4.83 0.6961176625 
4.89 0.6352789072 
4.95 0.5736301574 
5.01 0.5892100143 
5.07 0.7600809333 
5.13 1.0048543562 
5.19 1.2716927291 
5.25 1.4371635993 
5.31 1.5255294947 
5.37 1.5881678362 
5.43 1.6171370227 
5.49 1.4832948541 
5.55 1.3015132836 
5.61 1.0271849915 
5.67 0.7658657835 
5.73 0.5499347311 
5.79 0.4241024919 
5.85 0.4429529756 
5.91 0.5102207326 
5.97 0.6168679736 
6.03 0.7519241705 
6.09 0.8742079402 
6.15 1.0604134539 
6.21 1.2696316577 
6.27 1.4352612561 
6.33 1.484590166 
6.39 1.4293509976 
6.45 1.3301328426 
6.51 1.2257942092 
6.57 1.1624771542 
6.63 1.1369829796 
6.69 1.0596313789 
6.75 0.9419517473 
6.81 0.7697859225 
6.87 0.6002615152 
6.93 0.4544359291 
6.99 0.4142191066 
7.05 0.4951855386 
7.11 0.6879927301 
7.17 0.9582845024 
7.23 1.2136612215 
7.29 1.4187214518 
7.35 1.559309511 
7.41 1.5312506064 
7.47 1.4590614169 
7.53 1.317261368 
7.59 1.0943384527 
7.65 0.9463706625 
7.71 0.8729120209 
7.77 0.8466014617 
7.83 0.8330522888 
7.89 0.8256820024 
7.95 0.7701316637 
8.01 0.6828590859 
8.07 0.6041253366 
8.13 0.6012125793 
8.19 0.7100474209 
8.25 0.9260591835 
8.31 1.1738846347 
8.37 1.3848257257 
8.43 1.5258305873 
8.49 1.5320695044 
8.55 1.4520169943 
8.61 1.3004671347 
8.67 1.1413759532 
8.73 0.959280405 
8.79 0.8114809713 
8.85 0.694014155 
8.91 0.6574652649 
8.97 0.6664468768 
9.03 0.7144151319 
9.09 0.7673492137 
9.15 0.8162241961 
9.21 0.866440858 
9.27 0.9238024089 
9.33 1.0237971528 
9.39 1.1826044753 
9.45 1.3129317692 
9.51 1.3719751697 
9.57 1.3931818502 
9.63 1.3227115425 
9.69 1.2371622619 
9.75 1.1321723389 
9.81 1.0061769528 
9.87 0.8729917838 
9.93 0.7572986193 
9.99 0.6394729352 
10.05 0.5767600171 
10.11 0.5889990008 
10.17 0.6799913505 
10.23 0.8305391917 
10.29 0.9956352435 
10.35 1.1368404091 
10.41 1.2464192837 
10.47 1.327136081 
10.53 1.30907188 
10.59 1.2847450373 
10.65 1.2276528161 
10.71 1.1534823813 
10.77 1.1023665483 
10.83 1.0407935837 
10.89 0.9591852317 
10.95 0.8853571376 
11.01 0.8289410656 
11.07 0.7376043953 
11.13 0.6727699856 
11.19 0.632214665 
11.25 0.6628011494 
11.31 0.7748973341 
11.37 0.9572102269 
11.43 1.1680090841 
11.49 1.3404043675 
11.55 1.4102564951 
11.61 1.4061614634 
11.67 1.3106303935 
11.73 1.1927750056 
11.79 1.0716424398 
11.85 0.9673787567 
11.91 0.9009374706 
11.97 0.8552670487 
