# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0562514067 
1.11 4.4923492599 
1.17 4.9622763033 
1.23 3.3353114174 
1.29 1.9079135581 
1.35 1.0919156039 
1.41 0.5369857577 
1.47 0.2205602269 
1.53 0.0915816081 
1.59 0.0351712429 
1.65 0.014851677 
1.71 0.0139631151 
1.77 0.0433093232 
1.83 0.1445525772 
1.89 0.4135741722 
1.95 1.0543226016 
2.01 1.7606029357 
2.07 2.0364899884 
2.13 1.7372278533 
2.19 1.3467711465 
2.25 1.5820209453 
2.31 1.819738447 
2.37 1.8235121379 
2.43 1.538011275 
2.49 1.1731540171 
2.55 0.7761849298 
2.61 0.4066155426 
2.67 0.2129767281 
2.73 0.0920644954 
2.79 0.0549516144 
2.85 0.0657001312 
2.91 0.1889339033 
2.97 0.5259440036 
3.03 1.1681320928 
3.09 1.8764799976 
3.15 2.2867593136 
3.21 2.2150459474 
3.27 1.7835637806 
3.33 1.2819649224 
3.39 0.9321306111 
3.45 0.8887826332 
3.51 0.9489547866 
3.57 1.0109764709 
3.63 0.9968625631 
3.69 0.7884051597 
3.75 0.5753920487 
3.81 0.3646352076 
3.87 0.2419190879 
3.93 0.2679639043 
3.99 0.4281847 
4.05 0.7235996557 
4.11 1.1443129578 
4.17 1.5352897139 
4.23 1.9335943592 
4.29 2.0773307205 
4.35 1.9218542785 
4.41 1.5754098377 
4.47 1.1282009608 
4.53 0.7818882123 
4.59 0.580290638 
4.65 0.5598308325 
4.71 0.6162002754 
4.77 0.6969702094 
4.83 0.7027523104 
4.89 0.6463294707 
4.95 0.586196961 
5.01 0.5806816446 
5.07 0.7201745154 
5.13 1.0101211452 
5.19 1.2580121047 
5.25 1.4271101564 
5.31 1.5744003977 
5.37 1.5763498924 
5.43 1.6096154551 
5.49 1.5240396819 
5.55 1.3180425928 
5.61 1.0436495203 
5.67 0.7809370824 
5.73 0.5402848295 
5.79 0.410645811 
5.85 0.406219242 
5.91 0.4839601531 
5.97 0.6150787302 
6.03 0.7332719495 
6.09 0.8866922032 
6.15 1.0742062871 
6.21 1.2580969104 
6.27 1.4224338968 
6.33 1.5020606039 
6.39 1.4575722233 
6.45 1.3502981787 
6.51 1.2258907284 
6.57 1.1422975837 
6.63 1.1247573561 
6.69 1.0761617036 
6.75 0.9677369666 
6.81 0.7875935077 
6.87 0.5965115957 
6.93 0.4395661181 
6.99 0.3888697602 
7.05 0.4620305673 
7.11 0.6753552272 
7.17 0.9243699068 
7.23 1.21305287 
7.29 1.4370803624 
7.35 1.5618741648 
7.41 1.5726311743 
7.47 1.4932962835 
7.53 1.3199316052 
7.59 1.1266247071 
7.65 0.9343788107 
7.71 0.8469145478 
7.77 0.8115049831 
7.83 0.8420400411 
7.89 0.8541126038 
7.95 0.7773239852 
8.01 0.6875657539 
8.07 0.5900324527 
8.13 0.5662790293 
8.19 0.6819677498 
8.25 0.8967366417 
8.31 1.1498398479 
8.37 1.4140281546 
8.43 1.5676453965 
8.49 1.5601190837 
8.55 1.4530458554 
8.61 1.3272500437 
8.67 1.1688431884 
8.73 0.9638867935 
8.79 0.7968983323 
8.85 0.675838439 
8.91 0.6267182032 
8.97 0.649354903 
9.03 0.7183118152 
9.09 0.7795842205 
9.15 0.7986444053 
9.21 0.8489073698 
9.27 0.9210233423 
9.33 1.0184094556 
9.39 1.1821360641 
9.45 1.3002984746 
9.51 1.3991966371 
9.57 1.416030584 
9.63 1.3532477009 
9.69 1.2520764252 
9.75 1.1390035245 
9.81 1.0086749413 
9.87 0.8850874914 
9.93 0.7387584709 
9.99 0.6331203468 
10.05 0.5490005106 
10.11 0.5660655164 
10.17 0.6597880822 
10.23 0.8040665995 
10.29 0.9814075212 
10.35 1.1347155872 
10.41 1.2800394067 
10.47 1.341479281 
10.53 1.3432039392 
10.59 1.2996970416 
10.65 1.2348507036 
10.71 1.1761871105 
10.77 1.0960656439 
10.83 1.019964948 
10.89 0.9609161964 
10.95 0.9054410703 
11.01 0.8095372817 
11.07 0.7486159576 
11.13 0.6514865851 
11.19 0.607900876 
11.25 0.6228666401 
11.31 0.739008054 
11.37 0.9459365772 
11.43 1.169603298 
11.49 1.3597084653 
11.55 1.4592724694 
11.61 1.4629880947 
11.67 1.3429358013 
11.73 1.1989887704 
11.79 1.0512307104 
11.85 0.9628186507 
11.91 0.8968223964 
11.97 0.839834132 
