# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.052893725 
1.11 4.080453686 
1.17 4.3227771512 
1.23 2.832173796 
1.29 1.922091283 
1.35 1.2953549525 
1.41 0.9328960457 
1.47 0.6109622935 
1.53 0.4413269006 
1.59 0.3433233466 
1.65 0.2923074277 
1.71 0.2333331221 
1.77 0.2634069758 
1.83 0.3242535946 
1.89 0.465526644 
1.95 0.7450091874 
2.01 1.0238031297 
2.07 1.283610878 
2.13 1.3905187844 
2.19 1.5039150416 
2.25 1.7613146446 
2.31 1.7642841169 
2.37 1.6283497104 
2.43 1.4173301507 
2.49 1.2026865849 
2.55 0.9975707408 
2.61 0.791245968 
2.67 0.6426384271 
2.73 0.5423212898 
2.79 0.4439615501 
2.85 0.4405124217 
2.91 0.4889369086 
2.97 0.6200460587 
3.03 0.7790041182 
3.09 1.1020652208 
3.15 1.3221111351 
3.21 1.4774729015 
3.27 1.4561736992 
3.33 1.416549884 
3.39 1.3347843599 
3.45 1.255862854 
3.51 1.1690215144 
3.57 1.0830522407 
3.63 1.0162313325 
3.69 0.9276205902 
3.75 0.84165052 
3.81 0.7244390776 
3.87 0.6561810795 
3.93 0.6441176396 
3.99 0.6783876642 
4.05 0.7430382636 
4.11 0.8527411332 
4.17 1.0356935836 
4.23 1.1652562645 
4.29 1.2876176257 
4.35 1.3565416542 
4.41 1.342062277 
4.47 1.30443007 
4.53 1.1840709266 
4.59 1.1127105729 
4.65 1.0304622597 
4.71 0.9392936131 
4.77 0.8821311155 
4.83 0.8460575235 
4.89 0.8137085601 
4.95 0.7833248541 
5.01 0.789842675 
5.07 0.8266188844 
5.13 0.8623923816 
5.19 0.9285970546 
5.25 1.0063727152 
5.31 1.1114288068 
5.37 1.1748091354 
5.43 1.2273682045 
5.49 1.2235381944 
5.55 1.2295345763 
5.61 1.1700112813 
5.67 1.098859404 
5.73 1.0187398482 
5.79 0.9785230944 
5.85 0.8912878189 
5.91 0.861960693 
5.97 0.8237977337 
6.03 0.8136617203 
6.09 0.8439237023 
6.15 0.8708622509 
6.21 0.9316416686 
6.27 0.9906750937 
6.33 1.0600184837 
6.39 1.1064453688 
6.45 1.1260633812 
6.51 1.1416154144 
6.57 1.1406440908 
6.63 1.1378165821 
6.69 1.1166886521 
6.75 1.0801300762 
6.81 1.0327337312 
6.87 0.978719302 
6.93 0.9481010397 
6.99 0.8966812614 
7.05 0.8476915402 
7.11 0.8615052245 
7.17 0.8581689473 
7.23 0.88743403 
7.29 0.9474930748 
7.35 1.0026940163 
7.41 1.0505907648 
7.47 1.0927289046 
7.53 1.132739806 
7.59 1.1275402784 
7.65 1.1076158901 
7.71 1.0905607207 
7.77 1.077813102 
7.83 1.0346488324 
7.89 1.0028849261 
7.95 0.9856643229 
8.01 0.9625891602 
8.07 0.9200258566 
8.13 0.9040676837 
8.19 0.8997643774 
8.25 0.8901204062 
8.31 0.9131529268 
8.37 0.9630953508 
8.43 0.9965498779 
8.49 1.0348681398 
8.55 1.0704263813 
8.61 1.0988688344 
8.67 1.1082901863 
8.73 1.0985803782 
8.79 1.0806894915 
8.85 1.0557747938 
8.91 1.0202054132 
8.97 0.9963544705 
9.03 0.9788899903 
9.09 0.9536168061 
9.15 0.9400159627 
9.21 0.9184197815 
9.27 0.9089278967 
9.33 0.9307312869 
9.39 0.9566141908 
9.45 0.9852616232 
9.51 0.9957970439 
9.57 1.0032986656 
9.63 1.0692138254 
9.69 1.0794107874 
9.75 1.0580779375 
9.81 1.0712724559 
9.87 1.0804565075 
9.93 1.0529543492 
9.99 1.0227102467 
10.05 0.9999531704 
10.11 0.9604799947 
10.17 0.9656635989 
10.23 0.932426406 
10.29 0.9372870336 
10.35 0.931147429 
10.41 0.9448746341 
10.47 0.9599102322 
10.53 0.9986476458 
10.59 1.0203157756 
10.65 1.0311041585 
10.71 1.0388376718 
10.77 1.0555772173 
10.83 1.0542500576 
10.89 1.0444152443 
10.95 1.0434974746 
11.01 1.0301779257 
11.07 1.0094112187 
11.13 1.0035100459 
11.19 0.9891824412 
11.25 0.9604572501 
11.31 0.9613709585 
11.37 0.9442789637 
11.43 0.9426467002 
11.49 0.9531791598 
11.55 0.9699924618 
11.61 0.9942480894 
11.67 1.0049163665 
11.73 1.0432609087 
11.79 1.0373318722 
11.85 1.0468182668 
11.91 1.0520981238 
11.97 1.0509758494 
