# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0624111787 
1.11 4.0906498056 
1.17 4.1615453868 
1.23 2.8041900717 
1.29 1.8818502421 
1.35 1.3208825131 
1.41 0.9006095378 
1.47 0.6716631607 
1.53 0.4497276109 
1.59 0.3507848427 
1.65 0.3093451047 
1.71 0.2678327676 
1.77 0.2986568832 
1.83 0.3469561334 
1.89 0.4542146891 
1.95 0.7102072073 
2.01 0.9983718562 
2.07 1.2888260145 
2.13 1.2993538579 
2.19 1.4482813238 
2.25 1.7484838428 
2.31 1.7405784268 
2.37 1.6329169492 
2.43 1.4215023461 
2.49 1.1381058576 
2.55 0.9865453305 
2.61 0.8207508385 
2.67 0.6594079962 
2.73 0.5665014678 
2.79 0.4875081076 
2.85 0.498705465 
2.91 0.5287077568 
2.97 0.6173173035 
3.03 0.8134394269 
3.09 1.0509584668 
3.15 1.2604746563 
3.21 1.3659817367 
3.27 1.4168482713 
3.33 1.3670484597 
3.39 1.3254551053 
3.45 1.2661027175 
3.51 1.1604448878 
3.57 1.1148349755 
3.63 1.0155714337 
3.69 0.9153921429 
3.75 0.8240494646 
3.81 0.7596636247 
3.87 0.6959572131 
3.93 0.6755123416 
3.99 0.7159036662 
4.05 0.7660651134 
4.11 0.8661385916 
4.17 1.0012229771 
4.23 1.1379834966 
4.29 1.2071010559 
4.35 1.3074544119 
4.41 1.2928029864 
4.47 1.2488984143 
4.53 1.1738491037 
4.59 1.1082176683 
4.65 1.0270553568 
4.71 0.9589369385 
4.77 0.9294729796 
4.83 0.8607918602 
4.89 0.8289370214 
4.95 0.8118286414 
5.01 0.7994901052 
5.07 0.8517833347 
5.13 0.8892274983 
5.19 0.9227194136 
5.25 1.0037104442 
5.31 1.0621653888 
5.37 1.1496867432 
5.43 1.1725179321 
5.49 1.1778736318 
5.55 1.1740611004 
5.61 1.1273691279 
5.67 1.0784548937 
5.73 1.0290401609 
5.79 0.9879434474 
5.85 0.9305133337 
5.91 0.8928529842 
5.97 0.8643652043 
6.03 0.8633718882 
6.09 0.8710065833 
6.15 0.9031185082 
6.21 0.9130356782 
6.27 0.9744405637 
6.33 1.0257091523 
6.39 1.0438814954 
6.45 1.1110479954 
6.51 1.108078041 
6.57 1.1125877112 
6.63 1.1055941047 
6.69 1.0838150521 
6.75 1.0526069059 
6.81 1.0300746613 
6.87 0.9834530051 
6.93 0.956656198 
6.99 0.9272985662 
7.05 0.9128999661 
7.11 0.8989491991 
7.17 0.9052377326 
7.23 0.9304560067 
7.29 0.9430737178 
7.35 0.9751994328 
7.41 0.9977646775 
7.47 1.0481374003 
7.53 1.0698585578 
7.59 1.0922915593 
7.65 1.1082811219 
7.71 1.0726465996 
7.77 1.0407485737 
7.83 1.039003979 
7.89 1.0045246636 
7.95 0.9904405454 
8.01 0.9680225739 
8.07 0.9443138724 
8.13 0.9422706179 
8.19 0.9411463493 
8.25 0.9391558514 
8.31 0.9194070363 
8.37 0.9627502188 
8.43 0.9798234232 
8.49 1.0072899593 
8.55 1.0208303293 
8.61 1.0568462054 
8.67 1.0683445262 
8.73 1.068925479 
8.79 1.0815097534 
8.85 1.0438181478 
8.91 1.0128449378 
8.97 1.0037160104 
9.03 0.9931763404 
9.09 0.9724426039 
9.15 0.9555617546 
9.21 0.9439606065 
9.27 0.9559951794 
9.33 0.9574173594 
9.39 0.9453288521 
9.45 0.9766964205 
9.51 0.9873785347 
9.57 1.0031004625 
9.63 1.0171898762 
9.69 1.0438790259 
9.75 1.0455952797 
9.81 1.0604280608 
9.87 1.045940533 
9.93 1.0285483754 
9.99 1.0386244696 
10.05 1.0006178306 
10.11 0.9759540345 
10.17 0.9909590079 
10.23 0.9610894456 
10.29 0.9741663226 
10.35 0.949242872 
10.41 0.9394351238 
10.47 0.9755695796 
10.53 0.9882659001 
10.59 0.9920175321 
10.65 1.023621466 
10.71 1.0066012104 
10.77 1.0355407248 
10.83 1.0350478097 
10.89 1.0399761722 
10.95 1.0165232597 
11.01 1.0275170117 
11.07 1.0301697019 
11.13 1.0013265204 
11.19 0.9913375257 
11.25 0.9767950456 
11.31 0.9719993851 
11.37 0.9722494283 
11.43 0.9740257292 
11.49 0.9629825784 
11.55 0.9732361374 
11.61 0.9843244534 
11.67 1.005094507 
11.73 1.0010086201 
11.79 1.0162946694 
11.85 1.0204271599 
11.91 1.0363172719 
11.97 1.0335558835 
