# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0575569759 
1.11 4.0486675112 
1.17 4.2200447537 
1.23 2.7645276831 
1.29 1.9145878888 
1.35 1.3203431573 
1.41 0.9114540334 
1.47 0.6340183228 
1.53 0.4749504293 
1.59 0.3567381103 
1.65 0.3119928517 
1.71 0.2640005023 
1.77 0.284258824 
1.83 0.3310407145 
1.89 0.4653870606 
1.95 0.713194409 
2.01 1.0248163937 
2.07 1.2251585722 
2.13 1.3157624307 
2.19 1.4419642106 
2.25 1.7750201514 
2.31 1.7661102727 
2.37 1.604959199 
2.43 1.4307912527 
2.49 1.1819691357 
2.55 0.9836899171 
2.61 0.8048491398 
2.67 0.6517721716 
2.73 0.5590334635 
2.79 0.4987301893 
2.85 0.4631931393 
2.91 0.5026852264 
2.97 0.6518851112 
3.03 0.806710829 
3.09 1.0540217987 
3.15 1.2410578451 
3.21 1.3718793663 
3.27 1.3814437648 
3.33 1.4042202828 
3.39 1.3705605294 
3.45 1.2661027175 
3.51 1.1816042332 
3.57 1.1070845677 
3.63 1.0101555876 
3.69 0.9205226011 
3.75 0.8172535807 
3.81 0.7405525901 
3.87 0.7023542245 
3.93 0.6744006921 
3.99 0.6912676747 
4.05 0.7554577814 
4.11 0.8464737556 
4.17 0.9858571553 
4.23 1.1397048451 
4.29 1.2303537056 
4.35 1.2801704446 
4.41 1.3106347517 
4.47 1.2857121669 
4.53 1.2236770131 
4.59 1.1079004001 
4.65 1.0505434348 
4.71 0.9570818292 
4.77 0.895432501 
4.83 0.8404403889 
4.89 0.8415936851 
4.95 0.8074157297 
5.01 0.8061755342 
5.07 0.802666845 
5.13 0.8768790877 
5.19 0.9232805931 
5.25 0.9884543783 
5.31 1.0760149505 
5.37 1.1403308775 
5.43 1.1774794101 
5.49 1.1898101961 
5.55 1.1901980448 
5.61 1.1678640816 
5.67 1.1142835333 
5.73 1.0414933513 
5.79 0.9767511146 
5.85 0.9208049281 
5.91 0.865132283 
5.97 0.8482658383 
6.03 0.8522627674 
6.09 0.8681371038 
6.15 0.8764795905 
6.21 0.9207742624 
6.27 0.958995373 
6.33 1.0298501783 
6.39 1.0659874893 
6.45 1.0984044904 
6.51 1.1121045687 
6.57 1.1340880614 
6.63 1.1099870484 
6.69 1.1048209072 
6.75 1.0828108344 
6.81 1.0313577105 
6.87 0.9801674093 
6.93 0.9394248288 
6.99 0.9225068639 
7.05 0.8752024339 
7.11 0.9042744849 
7.17 0.8944731825 
7.23 0.908400604 
7.29 0.9311879127 
7.35 0.9717321451 
7.41 1.0420813871 
7.47 1.0492096138 
7.53 1.0774009446 
7.59 1.1018848454 
7.65 1.1020943929 
7.71 1.0932344636 
7.77 1.0543365931 
7.83 1.0409568192 
7.89 1.0009255398 
7.95 0.973862985 
8.01 0.9516600926 
8.07 0.9461184088 
8.13 0.9313441836 
8.19 0.9269215792 
8.25 0.9356255221 
8.31 0.9397351058 
8.37 0.9449166781 
8.43 0.9630669225 
8.49 1.0239280396 
8.55 1.0423761768 
8.61 1.0560005255 
8.67 1.0915237644 
8.73 1.0836048552 
8.79 1.0714037339 
8.85 1.0414321837 
8.91 1.0261653933 
8.97 1.0018490094 
9.03 0.9755173635 
9.09 0.9413628897 
9.15 0.9499117809 
9.21 0.9518664743 
9.27 0.9447629626 
9.33 0.9438380783 
9.39 0.9671184844 
9.45 0.98216703 
9.51 0.9890629584 
9.57 1.0018831075 
9.63 1.0424438284 
9.69 1.0399716181 
9.75 1.0435042385 
9.81 1.0599084978 
9.87 1.0626867949 
9.93 1.0328746286 
9.99 1.0114380185 
10.05 1.0106884901 
10.11 0.9936711545 
10.17 0.9568077582 
10.23 0.956676534 
10.29 0.9591649962 
10.35 0.9498760288 
10.41 0.9469892146 
10.47 0.9706319234 
10.53 0.9868137882 
10.59 1.0026747762 
10.65 1.0064608336 
10.71 1.0330477774 
10.77 1.0459522461 
10.83 1.0371320242 
10.89 1.0371010934 
10.95 1.0419912004 
11.01 1.0281783472 
11.07 0.9907704138 
11.13 0.9984480174 
11.19 1.0055877993 
11.25 0.9799017353 
11.31 0.9560976863 
11.37 0.969815923 
11.43 0.9602657843 
11.49 0.9776212317 
11.55 0.9674363107 
11.61 0.9828192743 
11.67 1.001538086 
11.73 1.0136717578 
11.79 1.0278434725 
11.85 1.0384307222 
11.91 1.0221337071 
11.97 1.0342250092 
