# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0571182666 
1.11 3.5546173613 
1.17 3.8502744833 
1.23 2.7463270968 
1.29 1.9402062998 
1.35 1.4503927905 
1.41 1.0621738182 
1.47 0.860221781 
1.53 0.676869599 
1.59 0.5541063834 
1.65 0.5006807335 
1.71 0.4421126019 
1.77 0.4008777839 
1.83 0.4329699125 
1.89 0.5211259687 
1.95 0.6367789414 
2.01 0.7862917144 
2.07 0.9675360993 
2.13 1.1326208937 
2.19 1.339573778 
2.25 1.5876732816 
2.31 1.7139136706 
2.37 1.5407878983 
2.43 1.3901161848 
2.49 1.2684170971 
2.55 1.100768847 
2.61 0.9809602247 
2.67 0.8592597593 
2.73 0.7865364766 
2.79 0.7036195368 
2.85 0.6879173289 
2.91 0.6879570511 
2.97 0.7050599513 
3.03 0.7713873274 
3.09 0.8980134962 
3.15 0.9932678842 
3.21 1.0889085883 
3.27 1.1619238537 
3.33 1.250064537 
3.39 1.2889876295 
3.45 1.2748950997 
3.51 1.2095430685 
3.57 1.1655533598 
3.63 1.1097538659 
3.69 1.072022155 
3.75 0.984139688 
3.81 0.9096671475 
3.87 0.8656607251 
3.93 0.8496503354 
3.99 0.8195137503 
4.05 0.8478353025 
4.11 0.8640260863 
4.17 0.9143900024 
4.23 0.9721117027 
4.29 1.0534221819 
4.35 1.0651072581 
4.41 1.1143999827 
4.47 1.1463067561 
4.53 1.1633831057 
4.59 1.130508414 
4.65 1.0937590098 
4.71 1.087358191 
4.77 1.0593366524 
4.83 1.012423898 
4.89 0.9892915355 
4.95 0.9394163046 
5.01 0.9121484163 
5.07 0.9116835079 
5.13 0.9206151051 
5.19 0.928689165 
5.25 0.9562080511 
5.31 0.9807188642 
5.37 1.0009067239 
5.43 1.0388493069 
5.49 1.0490365542 
5.55 1.0669179063 
5.61 1.0951073543 
5.67 1.0760700035 
5.73 1.0764482991 
5.79 1.0709831291 
5.85 1.0513350277 
5.91 1.0140768959 
5.97 0.9837933157 
6.03 0.9741444116 
6.09 0.9839654759 
6.15 0.9769754758 
6.21 0.9607349176 
6.27 0.9483079547 
6.33 0.9431891583 
6.39 1.0036015202 
6.45 0.9809075387 
6.51 1.0129993344 
6.57 1.0312622395 
6.63 1.044735358 
6.69 1.0525374503 
6.75 1.0486877985 
6.81 1.0517281364 
6.87 1.0491823543 
6.93 1.0320536981 
6.99 1.0279078243 
7.05 0.996634159 
7.11 1.00818306 
7.17 0.9792472218 
7.23 0.9689008509 
7.29 0.9816674433 
7.35 0.9931912668 
7.41 0.9868591649 
7.47 0.9910321332 
7.53 1.0042250871 
7.59 1.005301206 
7.65 0.9909017588 
7.71 1.0265761779 
7.77 1.020062229 
7.83 1.0297223517 
7.89 1.037094344 
7.95 1.0414862454 
8.01 1.0208191544 
8.07 1.0340592406 
8.13 1.0107389116 
8.19 0.9958050986 
8.25 0.9845697205 
8.31 1.0022633746 
8.37 0.9946750079 
8.43 0.998317134 
8.49 0.9909634063 
8.55 0.9819345587 
8.61 1.0023657324 
8.67 1.0204681192 
8.73 0.9891680638 
8.79 1.0195101258 
8.85 1.0224292431 
8.91 0.998005393 
8.97 1.0216525783 
9.03 1.0346020768 
9.09 1.0213610547 
9.15 1.0156790997 
9.21 1.0102546091 
9.27 1.0085452436 
9.33 0.9974420539 
9.39 1.0087903722 
9.45 0.995681332 
9.51 0.9862018028 
9.57 0.9938765001 
9.63 0.9890875819 
9.69 1.012166169 
9.75 1.0011724417 
9.81 1.0145091778 
9.87 1.0069726166 
9.93 1.0048862984 
9.99 1.0150855497 
10.05 1.001208648 
10.11 1.0129796979 
10.17 1.0099104702 
10.23 1.0036569555 
10.29 1.0202974059 
10.35 1.0175655914 
10.41 1.0033428506 
10.47 0.9966248895 
10.53 1.0098778147 
10.59 1.0016834258 
10.65 1.0006404198 
10.71 0.9962965246 
10.77 1.0010990781 
10.83 0.9983607123 
10.89 1.0093043478 
10.95 1.0016910744 
11.01 1.0074336468 
11.07 1.0057122929 
11.13 1.0049961278 
11.19 1.0067787349 
11.25 1.00411231 
11.31 1.0037894642 
11.37 0.9960407667 
11.43 1.0178605591 
11.49 1.0089430426 
11.55 0.9994599626 
11.61 1.0137936244 
11.67 1.0159643589 
11.73 1.0014779963 
11.79 1.0128600043 
11.85 0.9990350402 
11.91 0.9943567389 
11.97 0.998616988 
