# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0514868882 
1.11 3.4518827555 
1.17 3.7780773244 
1.23 2.705121889 
1.29 1.9303841282 
1.35 1.4741697215 
1.41 1.0507912448 
1.47 0.8493038025 
1.53 0.7006097236 
1.59 0.5875758965 
1.65 0.5232062471 
1.71 0.4505102714 
1.77 0.4347615014 
1.83 0.4698969839 
1.89 0.4929690768 
1.95 0.6302811971 
2.01 0.7463677631 
2.07 0.8993882593 
2.13 1.0929632994 
2.19 1.2948313195 
2.25 1.5895504077 
2.31 1.6627193216 
2.37 1.5443520618 
2.43 1.4029779749 
2.49 1.2579006675 
2.55 1.0994438168 
2.61 0.9676908848 
2.67 0.8700163248 
2.73 0.80169788 
2.79 0.7396482481 
2.85 0.7027367458 
2.91 0.6946334275 
2.97 0.6911237119 
3.03 0.7819810095 
3.09 0.8641158786 
3.15 0.9594796138 
3.21 1.0262792398 
3.27 1.1363501629 
3.33 1.2254589647 
3.39 1.2707977789 
3.45 1.2655910832 
3.51 1.2338494453 
3.57 1.1776205992 
3.63 1.1134770913 
3.69 1.0376844819 
3.75 0.9706243798 
3.81 0.9509048003 
3.87 0.8495087095 
3.93 0.8552387262 
3.99 0.8421662875 
4.05 0.8311497369 
4.11 0.8613542644 
4.17 0.8991974348 
4.23 0.9731101741 
4.29 0.9915951604 
4.35 1.0515142758 
4.41 1.0981187866 
4.47 1.1292992375 
4.53 1.1493978945 
4.59 1.1478074195 
4.65 1.109199886 
4.71 1.075700879 
4.77 1.0584512156 
4.83 0.9993073335 
4.89 0.9640712519 
4.95 0.9477780483 
5.01 0.9345727674 
5.07 0.8990212369 
5.13 0.9146873384 
5.19 0.9120879917 
5.25 0.939957502 
5.31 0.9751511172 
5.37 0.9944573799 
5.43 1.0357380481 
5.49 1.0239569182 
5.55 1.0751366748 
5.61 1.0880304884 
5.67 1.0838168732 
5.73 1.0502078448 
5.79 1.0590200973 
5.85 1.045126072 
5.91 1.0157920365 
5.97 0.9860571864 
6.03 0.9763857562 
6.09 0.9491507966 
6.15 0.9374184764 
6.21 0.9563821614 
6.27 0.9679773625 
6.33 0.9534644222 
6.39 0.9690994131 
6.45 1.0050045997 
6.51 1.0139076213 
6.57 1.0475906654 
6.63 1.0260065656 
6.69 1.0406686259 
6.75 1.0545694604 
6.81 1.0303933989 
6.87 1.0315996663 
6.93 1.0246183284 
6.99 1.0252492336 
7.05 0.9916018634 
7.11 0.9923819349 
7.17 0.9612220985 
7.23 0.9766118669 
7.29 0.9668358294 
7.35 0.9690567879 
7.41 0.987543138 
7.47 0.9723739518 
7.53 1.0171256552 
7.59 1.015873952 
7.65 1.0221503879 
7.71 1.0178113866 
7.77 1.0261502056 
7.83 1.0285356628 
7.89 1.0213564614 
7.95 1.0049354121 
8.01 1.023561024 
8.07 1.0001453633 
8.13 1.0064790128 
8.19 0.9999306505 
8.25 0.9764810133 
8.31 0.9834582302 
8.37 0.9935648795 
8.43 0.9881966853 
8.49 0.9814119517 
8.55 0.9730429086 
8.61 1.0115878503 
8.67 1.006925531 
8.73 1.0234207777 
8.79 1.0173959564 
8.85 1.022333796 
8.91 1.0113728063 
8.97 0.9980158563 
9.03 1.0128997548 
9.09 1.0114178619 
9.15 1.0101400389 
9.21 0.9981480627 
9.27 0.9987039998 
9.33 0.9931868323 
9.39 0.985671135 
9.45 0.9894242449 
9.51 0.9881559089 
9.57 1.001996983 
9.63 1.0002275361 
9.69 0.9876705448 
9.75 1.0033383564 
9.81 1.002540346 
9.87 1.0014097048 
9.93 1.0121169202 
9.99 1.0242175146 
10.05 0.9979306815 
10.11 1.0147342816 
10.17 1.0071695338 
10.23 0.9977943768 
10.29 1.0074092659 
10.35 0.9934894084 
10.41 1.0127555291 
10.47 0.9901705876 
10.53 0.9888604195 
10.59 0.9942653211 
10.65 0.9938193136 
10.71 0.9982682958 
10.77 0.9862755333 
10.83 1.0124781568 
10.89 1.0100800197 
10.95 0.9961368382 
11.01 0.987485985 
11.07 1.0027363613 
11.13 1.020402729 
11.19 1.0097227531 
11.25 0.9933000635 
11.31 1.0013994893 
11.37 1.013425233 
11.43 1.0178605591 
11.49 0.9872556193 
11.55 1.0072853845 
11.61 1.0040442096 
11.67 0.9820892292 
11.73 1.0016940338 
11.79 0.9882137681 
11.85 0.9906236143 
11.91 0.9901012892 
11.97 0.9995343804 
