# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0575488947 
1.11 4.0728015478 
1.17 4.5830605242 
1.23 3.2402529821 
1.29 2.0549435945 
1.35 1.28491113 
1.41 0.7644127578 
1.47 0.4226805462 
1.53 0.2283803109 
1.59 0.1045109644 
1.65 0.0565252977 
1.71 0.0514691678 
1.77 0.0768131433 
1.83 0.1686884029 
1.89 0.4027727591 
1.95 0.8548609219 
2.01 1.3936747649 
2.07 1.7140468673 
2.13 1.6565130396 
2.19 1.5010612898 
2.25 1.6750064515 
2.31 1.7821960066 
2.37 1.720726203 
2.43 1.5568783097 
2.49 1.2326361271 
2.55 0.9288038357 
2.61 0.6407023992 
2.67 0.398266746 
2.73 0.2420325587 
2.79 0.1499593977 
2.85 0.1431150144 
2.91 0.2123905027 
2.97 0.4633039856 
3.03 0.8974208821 
3.09 1.3956639386 
3.15 1.8006965736 
3.21 1.9352306583 
3.27 1.8338401764 
3.33 1.5378775567 
3.39 1.262078924 
3.45 1.1055316726 
3.51 1.0465889887 
3.57 0.9905474708 
3.63 0.9354538707 
3.69 0.8477985582 
3.75 0.6993691977 
3.81 0.5473400308 
3.87 0.4046073282 
3.93 0.373361108 
3.99 0.4340859131 
4.05 0.5875593871 
4.11 0.8504944945 
4.17 1.1904448784 
4.23 1.5182668995 
4.29 1.7459764226 
4.35 1.805995616 
4.41 1.6597434837 
4.47 1.439687952 
4.53 1.1622457448 
4.59 0.9266860233 
4.65 0.7459361813 
4.71 0.6734025499 
4.77 0.6672729029 
4.83 0.6646951728 
4.89 0.6589571021 
4.95 0.6317299119 
5.01 0.6287527635 
5.07 0.7016316229 
5.13 0.8055820991 
5.19 1.0038152888 
5.25 1.1604859715 
5.31 1.3447866247 
5.37 1.4578202964 
5.43 1.5116261579 
5.49 1.4979769454 
5.55 1.4213089231 
5.61 1.2754486193 
5.67 1.0802001665 
5.73 0.87001274 
5.79 0.6894782812 
5.85 0.5723773286 
5.91 0.5167778971 
5.97 0.5485502298 
6.03 0.6155260724 
6.09 0.7164492265 
6.15 0.852034881 
6.21 1.010701707 
6.27 1.1617226681 
6.33 1.278959852 
6.39 1.3759049111 
6.45 1.3766492792 
6.51 1.3417649897 
6.57 1.2784263586 
6.63 1.2207911672 
6.69 1.1432779656 
6.75 1.0621802268 
6.81 0.958496075 
6.87 0.8242128219 
6.93 0.7207828457 
6.99 0.599771917 
7.05 0.5282413573 
7.11 0.5675708268 
7.17 0.6693579255 
7.23 0.8299582607 
7.29 1.0381891645 
7.35 1.2268459236 
7.41 1.3602396942 
7.47 1.4401417452 
7.53 1.4155826867 
7.59 1.3494419667 
7.65 1.24261212 
7.71 1.0889723912 
7.77 0.9830142421 
7.83 0.916259794 
7.89 0.8726639608 
7.95 0.8209687375 
8.01 0.7857096891 
8.07 0.7306277258 
8.13 0.6857302112 
8.19 0.6732482869 
8.25 0.7327589299 
8.31 0.8213657184 
8.37 0.9980814124 
8.43 1.1663601794 
8.49 1.3095158587 
8.55 1.4084883458 
8.61 1.4209481189 
8.67 1.3779332622 
8.73 1.2598977533 
8.79 1.1141078305 
8.85 0.9800169635 
8.91 0.8453731276 
8.97 0.7826047155 
9.03 0.716597207 
9.09 0.7185147546 
9.15 0.7196893309 
9.21 0.7652776378 
9.27 0.8108426294 
9.33 0.8701122547 
9.39 0.9524765749 
9.45 1.0465141388 
9.51 1.1358427944 
9.57 1.2634460973 
9.63 1.3138888913 
9.69 1.3245967655 
9.75 1.3045891736 
9.81 1.2191455193 
9.87 1.1175718512 
9.93 1.0128601681 
9.99 0.9163096707 
10.05 0.7969270848 
10.11 0.7107299628 
10.17 0.6776037289 
10.23 0.6697130629 
10.29 0.7141271445 
10.35 0.8124112549 
10.41 0.9363142428 
10.47 1.0536530838 
10.53 1.1551837458 
10.59 1.2319337145 
10.65 1.2787096561 
10.71 1.2718526496 
10.77 1.2468985258 
10.83 1.1873488224 
10.89 1.1279728105 
10.95 1.0480137005 
11.01 0.982945143 
11.07 0.9115807298 
11.13 0.8532013116 
11.19 0.7845891894 
11.25 0.7426893367 
11.31 0.6992014823 
11.37 0.7278033823 
11.43 0.7934562882 
11.49 0.8855761626 
11.55 1.0445806779 
11.61 1.1799915619 
11.67 1.288007877 
11.73 1.3216231965 
11.79 1.3109977551 
11.85 1.2525356977 
11.91 1.1435959917 
11.97 1.0714695519 
