# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0443577966 
1.11 3.5089115137 
1.17 3.7412673663 
1.23 2.6350965467 
1.29 1.9206668046 
1.35 1.4730484964 
1.41 1.0658848206 
1.47 0.8515112746 
1.53 0.6610181458 
1.59 0.5869038658 
1.65 0.4783585114 
1.71 0.4732471066 
1.77 0.4294812089 
1.83 0.4585759918 
1.89 0.4933044645 
1.95 0.6261273601 
2.01 0.7721235868 
2.07 0.8923792238 
2.13 1.120268649 
2.19 1.3166821996 
2.25 1.5543711235 
2.31 1.6367738918 
2.37 1.5381346727 
2.43 1.3673564624 
2.49 1.2405486196 
2.55 1.0688272026 
2.61 0.9814799829 
2.67 0.8771878884 
2.73 0.8082502366 
2.79 0.7130635049 
2.85 0.7275262302 
2.91 0.6753703185 
2.97 0.7051321459 
3.03 0.7496357834 
3.09 0.8605089552 
3.15 0.9634619042 
3.21 1.0602342512 
3.27 1.1710051358 
3.33 1.1983598436 
3.39 1.2240102178 
3.45 1.276250953 
3.51 1.2278958447 
3.57 1.1103427454 
3.63 1.0945103021 
3.69 1.0160820488 
3.75 0.9989375801 
3.81 0.8950145973 
3.87 0.9221865569 
3.93 0.8543531727 
3.99 0.8354607561 
4.05 0.8604591105 
4.11 0.8598370341 
4.17 0.8925410967 
4.23 0.9398504782 
4.29 1.0077439986 
4.35 1.0575128153 
4.41 1.0915940769 
4.47 1.1134104657 
4.53 1.1120661183 
4.59 1.1433729441 
4.65 1.0985709149 
4.71 1.0780427883 
4.77 1.017230289 
4.83 1.0025275309 
4.89 0.9716874699 
4.95 0.9510042762 
5.01 0.9472514505 
5.07 0.9152076457 
5.13 0.9161765671 
5.19 0.914398799 
5.25 0.9329395155 
5.31 0.9786282251 
5.37 0.9788452329 
5.43 1.0077000829 
5.49 1.0442564623 
5.55 1.0311689142 
5.61 1.0724742674 
5.67 1.0640590501 
5.73 1.067722356 
5.79 1.0629782871 
5.85 1.0182389085 
5.91 1.0253518599 
5.97 0.9792429413 
6.03 0.9649475908 
6.09 0.9626789053 
6.15 0.9653230254 
6.21 0.9633624129 
6.27 0.9678064719 
6.33 0.9570562519 
6.39 0.9850346388 
6.45 0.9637505 
6.51 1.0059714593 
6.57 1.0021013645 
6.63 1.0085879098 
6.69 1.0398223403 
6.75 1.0406831954 
6.81 1.0423837947 
6.87 1.0217789398 
6.93 1.0226536393 
6.99 1.0183969457 
7.05 1.0196394581 
7.11 1.0047181309 
7.17 0.9794906766 
7.23 0.9703268013 
7.29 0.9605151487 
7.35 0.9746267917 
7.41 0.9796428365 
7.47 0.9809040871 
7.53 0.9788316577 
7.59 1.0118574458 
7.65 1.0034864286 
7.71 0.9981582982 
7.77 1.0093967717 
7.83 1.0133462161 
7.89 1.0234549607 
7.95 1.0277617785 
8.01 1.0181941801 
8.07 1.0155709293 
8.13 1.0098150612 
8.19 1.0077993904 
8.25 0.9766780312 
8.31 0.99835068 
8.37 0.9731091003 
8.43 0.9794035746 
8.49 0.9990300575 
8.55 0.9777197674 
8.61 0.9764124746 
8.67 1.0029428282 
8.73 1.0202483765 
8.79 1.0124326449 
8.85 1.0014336459 
8.91 1.0148526198 
8.97 1.0034282507 
9.03 1.0170240664 
9.09 0.9838683728 
9.15 1.0230471333 
9.21 1.0022947573 
9.27 0.9829773865 
9.33 0.9847680453 
9.39 1.0028334134 
9.45 1.0274462656 
9.51 0.9967385808 
9.57 0.9871000276 
9.63 0.9812953374 
9.69 0.9840598652 
9.75 1.0014625623 
9.81 0.9986438962 
9.87 1.0226561928 
9.93 0.9954539519 
9.99 1.009456239 
10.05 1.0026848208 
10.11 0.9941839248 
10.17 0.9964965928 
10.23 1.0039853933 
10.29 1.0050015366 
10.35 0.9989343657 
10.41 0.9837491893 
10.47 1.0075034646 
10.53 1.0076075705 
10.59 1.0007992253 
10.65 0.9943799727 
10.71 1.0025545422 
10.77 0.9839183267 
10.83 1.0187855438 
10.89 1.004465808 
10.95 0.9908346867 
11.01 0.9897408914 
11.07 1.0060895235 
11.13 1.006942907 
11.19 1.00228701 
11.25 0.9844473665 
11.31 1.0064336947 
11.37 0.9906623347 
11.43 1.0064912122 
11.49 1.007605302 
11.55 0.9853047586 
11.61 1.0039246802 
11.67 1.0011149891 
11.73 0.9880529028 
11.79 1.010536636 
11.85 1.0145442251 
11.91 0.9907179798 
11.97 1.0078474939 
