# Radial distribution function (200 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0 
0.57 0.0 
0.63 0.0 
0.69 0.0 
0.75 0.0 
0.81 0.0 
0.87 0.0 
0.93 0.0 
0.99 0.0 
1.05 0.0453247678 
1.11 3.4292302389 
1.17 3.7900110041 
1.23 2.69485515 
1.29 1.9604672616 
1.35 1.4249470859 
1.41 1.0865932108 
1.47 0.8474254831 
1.53 0.6941378268 
1.59 0.5770993689 
1.65 0.4771751072 
1.71 0.4345541757 
1.77 0.432559745 
1.83 0.459895832 
1.89 0.4974238649 
1.95 0.6092847666 
2.01 0.786329534 
2.07 0.9422204463 
2.13 1.0897207578 
2.19 1.2752696924 
2.25 1.5785741936 
2.31 1.641667427 
2.37 1.5645248241 
2.43 1.3815857042 
2.49 1.2453533219 
2.55 1.0971961592 
2.61 0.9919991274 
2.67 0.8693277955 
2.73 0.778044597 
2.79 0.7227081679 
2.85 0.6960679021 
2.91 0.668804699 
2.97 0.6980239138 
3.03 0.7784412743 
3.09 0.8641119502 
3.15 0.9640127514 
3.21 1.0419717483 
3.27 1.1471988347 
3.33 1.2233102534 
3.39 1.2607688282 
3.45 1.252878917 
3.51 1.2245639019 
3.57 1.1579098316 
3.63 1.1113998449 
3.69 1.0279367713 
3.75 0.9950138323 
3.81 0.9131635253 
3.87 0.8741953718 
3.93 0.8542629163 
3.99 0.8236301295 
4.05 0.8433823102 
4.11 0.8528067784 
4.17 0.9102137832 
4.23 0.9320423509 
4.29 1.0011374303 
4.35 1.0694780661 
4.41 1.0965791775 
4.47 1.1235130979 
4.53 1.1158202682 
4.59 1.1096018719 
4.65 1.1319136126 
4.71 1.0979949057 
4.77 1.0288717289 
4.83 1.0095219067 
4.89 0.9826220379 
4.95 0.9481093241 
5.01 0.9217559801 
5.07 0.9082127379 
5.13 0.9124010146 
5.19 0.934831954 
5.25 0.937984142 
5.31 0.9335177049 
5.37 0.9789048154 
5.43 1.0134481011 
5.49 1.0302031634 
5.55 1.0649493688 
5.61 1.0727584595 
5.67 1.0834946116 
5.73 1.0505837378 
5.79 1.0627691895 
5.85 1.0520117157 
5.91 1.0231070348 
5.97 1.0002376686 
6.03 0.979623429 
6.09 0.9691493756 
6.15 0.9429956611 
6.21 0.9548586771 
6.27 0.930673892 
6.33 0.955882658 
6.39 0.9661145423 
6.45 0.9707193129 
6.51 1.0020441732 
6.57 1.0155137132 
6.63 1.0287394606 
6.69 1.0498401491 
6.75 1.0443427297 
6.81 1.0337928335 
6.87 1.0466399686 
6.93 1.0190241521 
6.99 1.0174439443 
7.05 1.0123377402 
7.11 1.012132362 
7.17 0.977811248 
7.23 0.9822840956 
7.29 0.9554163926 
7.35 0.9554551929 
7.41 0.9745356264 
7.47 0.9686081393 
7.53 0.9914931556 
7.59 0.9968557383 
7.65 1.0116294837 
7.71 0.9996417915 
7.77 1.0185715362 
7.83 1.0102332294 
7.89 1.0439269696 
7.95 1.0175642921 
8.01 1.0325612881 
8.07 1.0050197485 
8.13 1.0114667788 
8.19 1.0157804461 
8.25 0.9943256476 
8.31 0.9910648448 
8.37 0.966902729 
8.43 0.9872576006 
8.49 0.9745766357 
8.55 0.9828736581 
8.61 0.9946430109 
8.67 0.9946933425 
8.73 0.9859441788 
8.79 1.0044805509 
8.85 1.0026706587 
8.91 1.0190643123 
8.97 1.0126201497 
9.03 1.0083882448 
9.09 1.0307572838 
9.15 1.0266444456 
9.21 1.0070832386 
9.27 0.9960615027 
9.33 0.9887610751 
9.39 0.9866222085 
9.45 0.9898999969 
9.51 0.9900636021 
9.57 0.9879567986 
9.63 0.9901245936 
9.69 0.9999341459 
9.75 0.993266902 
9.81 0.9928942507 
9.87 1.0071606671 
9.93 0.9960302103 
9.99 1.0131151801 
10.05 1.0037436271 
10.11 0.9968782614 
10.17 1.010700335 
10.23 1.0073025645 
10.29 1.0161154084 
10.35 1.0148230492 
10.41 0.9934944363 
10.47 0.9861264139 
10.53 0.975829315 
10.59 1.0033350641 
10.65 0.9938410105 
10.71 0.9985637267 
10.77 1.0055595323 
10.83 1.0025326732 
10.89 0.9982357878 
10.95 0.9901735262 
11.01 1.0073001182 
11.07 1.0039523342 
11.13 1.0106928112 
11.19 0.9911715131 
11.25 1.0008768958 
11.31 1.0061237894 
11.37 1.0033111413 
11.43 1.0076136043 
11.49 0.9958119933 
11.55 0.997000315 
11.61 0.9999742222 
11.67 0.997050861 
11.73 0.9987840428 
11.79 0.989806249 
11.85 1.0029023349 
11.91 1.0004437511 
11.97 0.9927086724 
